Ano;Mês;Classificação;Fonte;Rubrica;Receita;Receita Mês (R$);Receita Ano (R$);Receita Orçada (R$)
2026;02;10000000000;;;RECEITAS CORRENTES;515.319.890,25;984.549.322,56;4.773.581.000,00
2026;02;11000000000;;;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;291.690.557,67;418.418.286,40;1.624.916.000,00
2026;02;11100000000;;;IMPOSTOS;268.492.590,61;392.556.620,05;1.575.764.000,00
2026;02;11120000000;;;IMPOSTOS SOBRE O PATRIMÔNIO;197.136.722,65;223.503.672,13;595.860.000,00
2026;02;11125000000;;;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA;189.990.941,88;208.570.515,19;474.341.000,00
2026;02;11125001001;0001;0019;Imposto sobre a Propriedade Predial Urbana;129.492.146,07;138.960.187,70;301.075.000,00
2026;02;11125001002;0001;0027;Imposto sobre a Propriedade Territorial Urbana;54.390.967,45;56.272.707,71;101.642.000,00
2026;02;11125002001;0001;1620;Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros;644.260,98;647.464,60;1.943.000,00
2026;02;11125003001;0001;2410;Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa;4.959.601,08;11.660.433,60;60.571.000,00
2026;02;11125004001;0001;1670;Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros;503.966,30;1.029.721,58;9.110.000,00
2026;02;11125300000;;;IMPOSTOS SOBRE TRANSMISSÃO "INTER VIVOS" DE BENS IMÓVEIS E DE DIREITOS REAIS SOBRE IMÓVEIS;7.145.780,77;14.933.156,94;121.519.000,00
2026;02;11125301001;0001;0248;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal;7.145.604,92;14.931.533,03;121.485.000,00
2026;02;11125302001;0001;1650;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros;175,85;1.623,91;34.000,00
